INDICATOR,HFA_426,,,
,,,,
HFA_426,"Pure alcohol consumption, litres per capita, age 15+",,,
,,,,
UNIT_TYPE,Unit,,,
LITRES_PCAPITA,litres per capita,,,
,,,,
EXTERNID,ID in the originating data source,,,
,,,,
DATA_SOURCE,Data source,,,
HFA,European Health for All database,,,
,,,,
DATA_TYPE_REPRESENTATION,Data type representation,,,
RATIO,Ratio,,,
,,,,
DATA_SET,Data set,,,
HFA,European Health for All database (WHO),,,
,,,,
DATA_MASK,Mask for controlling the output format of values,,,
,,,,
MKD,,ALL,2003,2.4
NLD,,ALL,1983,11.22
CYP,,ALL,1994,9.53
CHE,,ALL,1981,14.58
,EU_BEFORE_MAY2004,ALL,1989,12.68
LTU,,ALL,1987,6.22
LTU,,ALL,1986,8.04
FIN,,ALL,1982,7.92
POL,,ALL,1984,8.31
,CIS,ALL,2009,8.7
,EU_MEMBERS,ALL,2005,10.99
,SEEHN,ALL,2001,7.92
EST,,ALL,2002,11.48
HUN,,ALL,2009,11.46
HUN,,ALL,2010,10.78
,SEEHN,ALL,2007,8.36
BEL,,ALL,2005,12.27
,EU_AFTER_MAY2004,ALL,1982,11.41
,SEEHN,ALL,2010,7.63
BEL,,ALL,1987,13.16
POL,,ALL,1988,9.52
IRL,,ALL,2012,11.49
NLD,,ALL,2002,9.68
MLT,,ALL,2000,5.59
HUN,,ALL,1992,14.82
ISR,,ALL,1974,4.74
GEO,,ALL,2002,2.72
IRL,,ALL,2004,13.32
NOR,,ALL,1976,5.84
FRA,,ALL,2011,11.8
BLR,,ALL,1980,13.23
ISR,,ALL,1985,2.69
ISR,,ALL,1987,2.26
ALB,,ALL,1996,3.12
LUX,,ALL,1992,14.18
,NORDIC,ALL,1982,8.12
CZE,,ALL,1976,13.62
TKM,,ALL,1998,1.62
ALB,,ALL,1980,1.79
GRC,,ALL,1975,10.88
CHE,,ALL,1976,13.96
BGR,,ALL,1989,11.43
GRC,,ALL,1972,10.43
LVA,,ALL,2003,8.24
DNK,,ALL,2001,11.56
HUN,,ALL,2005,12.94
HUN,,ALL,2006,13.16
CZE,,ALL,1983,14.14
FIN,,ALL,1981,8.01
BLR,,ALL,2011,17.31
,SEEHN,ALL,1997,8.99
,CIS,ALL,2005,8.59
GRC,,ALL,1993,10.67
SVN,,ALL,1981,16.94
GRC,,ALL,1995,10.09
BLR,,ALL,1996,10.45
GRC,,ALL,1990,10.33
BEL,,ALL,2009,10.05
ITA,,ALL,1980,16.73
ITA,,ALL,1982,14.5
,CIS,ALL,2012,8.65
UKR,,ALL,1980,7.67
PRT,,ALL,1982,16.99
ISR,,ALL,1978,3.52
RUS,,ALL,2007,12.19
SWE,,ALL,1981,7.14
KAZ,,ALL,2001,5.75
IRL,,ALL,1971,11.13
,CARINFONET,ALL,2010,3.49
ISL,,ALL,1979,5.12
CYP,,ALL,2009,10.8
BLR,,ALL,1983,12.43
SVN,,ALL,1989,12.96
FIN,,ALL,2008,10.26
POL,,ALL,2006,10.4
,EU_AFTER_MAY2004,ALL,1994,10.32
LVA,,ALL,2000,7.13
SVN,,ALL,1999,7.9
SVN,,ALL,1998,8.31
,EU_AFTER_MAY2004,ALL,2010,10.65
GRC,,ALL,1971,10.39
BLR,,ALL,2001,10.74
ISL,,ALL,1988,5.47
BLR,,ALL,1989,7.98
,EU_MEMBERS,ALL,1996,11.02
,EU_MEMBERS,ALL,1998,10.9
ROU,,ALL,2012,9.58
FIN,,ALL,1983,7.94
BLR,,ALL,1998,11.72
BIH,,ALL,2010,4.54
,CIS,ALL,2007,9.3
LUX,,ALL,2003,12.61
HRV,,ALL,2008,12.06
ISL,,ALL,2003,6.61
,NORDIC,ALL,1992,8.23
HUN,,ALL,1987,15.7
,NORDIC,ALL,1994,8.2
HUN,,ALL,1988,15.34
CZE,,ALL,1986,13.01
,NORDIC,ALL,1996,8.01
BIH,,ALL,2008,5.13
CZE,,ALL,1987,13.2
HUN,,ALL,1989,16.29
SWE,,ALL,1978,8.06
ISR,,ALL,1990,1.84
GEO,,ALL,1997,2.62
KGZ,,ALL,1992,4.25
TUR,,ALL,1983,1.26
PRT,,ALL,2005,13.33
NOR,,ALL,1974,5.74
UKR,,ALL,1988,4.43
FIN,,ALL,1999,8.62
POL,,ALL,1998,8.32
BLR,,ALL,1984,12.7
SVN,,ALL,1993,14.31
